business_id,business_name,business_address,recent_score,recent_risk,average_score,minimum_score,maximum_score
88556,Thrive Juicery,101 Spear St,92.0,Moderate Risk,84.22222222222223,78.0,92.0
88568,Subway Sanwiches 67223,350 Bay St Unit 1,94.0,Low Risk,94.0,94.0,94.0
88574,Teaspoon,2125 Polk St,86.0,Moderate Risk,89.33333333333333,86.0,96.0
88577,Tai Chi Jiangbing,1325 9th Ave,91.0,High Risk,76.0,71.0,91.0
88653,The Deli King,1143 Taraval St,94.0,Low Risk,94.66666666666667,94.0,96.0
88675,Flywheel Coffee Roasters,672 Stanyan St,96.0,Moderate Risk,96.0,96.0,96.0
88676,Terra Cotta Warrior,2555 Judah St,94.0,Moderate Risk,90.0,86.0,94.0
88684,Guckenheimer Services LLC,345 Spear St 7th Floor,98.0,Low Risk,99.0,98.0,100.0
88688,Akira Japanese Restaurant,1634 Bush St,90.0,Moderate Risk,88.33333333333333,85.0,90.0
88690,The Laundry,3359 26th St,88.0,Moderate Risk,90.4,88.0,94.0
88702,Dancing Bull,4217 Geary Blvd,80.0,Moderate Risk,85.6,80.0,96.0
88708,The Organic Coup,224 Kearny St,100.0,,100.0,100.0,100.0
88711,Oza OZa,1700 Post St K,96.0,Moderate Risk,96.0,96.0,96.0
88712,Illy Caffe SF 200 Montgomery,220 Montgomery St Suite 144 & 148,88.0,Low Risk,89.33333333333333,88.0,92.0
88718,Rambler,545 Post St,89.0,Moderate Risk,92.66666666666667,89.0,100.0
88721,Cholo Soy,2301 Mission St,92.0,Low Risk,92.0,92.0,92.0
88722,Armenian Cultural Center,825 Brotherhood Way,92.0,Low Risk,93.5,92.0,98.0
88723,Chipotle Mexican Grill #2828,"400 Howard St, Suite 110",80.0,Low Risk,81.71428571428571,80.0,84.0
88741,499 Taproot,409 Illinois St.,92.0,Moderate Risk,92.0,92.0,92.0
88756,Sweet Basil Thai Cuisine,3221 Mission St,82.0,Moderate Risk,83.23076923076923,80.0,88.0
88759,Katani Pizza,2077 Hayes St,98.0,Low Risk,98.0,98.0,98.0
88760,Coin-Op Game Room,508 04th St,94.0,Low Risk,92.8,92.0,94.0
88764,Anar Restaurant Persian Cuisine LLC,937 Harrison St,87.0,High Risk,86.11111111111111,83.0,91.0
